************************New Entry**********************
startDate :2021-06-12	EndDate:2021-06-28	 VHI_mean: 0.42949271340052675	TCI_mean:0.338004162024035	NDVI_mean:0.21536743509550205	VCI_mean:0.520981264777024	Drought_index_mean: 4.582275892907369
******************************End of Entry**********************************************************New Entry**********************
startDate :2021-06-28	EndDate:2021-07-14	 VHI_mean: 0.42416615693618176	TCI_mean:0.3695134973577235	NDVI_mean:0.18056485209069528	VCI_mean:0.47881881651463454	Drought_index_mean: 4.518573362971************************New Entry**********************
startDate :2001-02-05	EndDate:2001-02-21	 VHI_mean: 0.39199512913097134	TCI_mean:0.2594967015412527	NDVI_mean:0.012213117321711008	VCI_mean:0.524493556720779	Drought_index_mean: 4.382400415607696
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-03-09	EndDate:2001-03-25	 VHI_mean: 0.41779046082722504	TCI_mean:0.3284573039871492	NDVI_mean:-0.01728827331294397	VCI_mean:0.5067028834165481	Drought_index_mean: 4.530341351226497
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-02-05	EndDate:2001-02-21	 VHI_mean: 0.39199512913097134	TCI_mean:0.2594967015412527	NDVI_mean:0.012213117321711008	VCI_mean:0.524493556720779	Drought_index_mean: 4.382400415607696
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-03-09	EndDate:2001-03-25	 VHI_mean: 0.41779046082722504	TCI_mean:0.3284573039871492	NDVI_mean:-0.01728827331294397	VCI_mean:0.5067028834165481	Drought_index_mean: 4.530341351226497
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-02-05	EndDate:2001-02-21	 VHI_mean: 0.39199512913097134	TCI_mean:0.2594967015412527	NDVI_mean:0.012213117321711008	VCI_mean:0.524493556720779	Drought_index_mean: 4.382400415607696
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-03-09	EndDate:2001-03-25	 VHI_mean: 0.41779046082722504	TCI_mean:0.3284573039871492	NDVI_mean:-0.01728827331294397	VCI_mean:0.5067028834165481	Drought_index_mean: 4.530341351226497
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-02-05	EndDate:2001-02-21	 VHI_mean: 0.39199512913097134	TCI_mean:0.2594967015412527	NDVI_mean:0.012213117321711008	VCI_mean:0.524493556720779	Drought_index_mean: 4.382400415607697
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-02-05	EndDate:2001-02-21	 VHI_mean: 0.39199512913097134	TCI_mean:0.2594967015412527	NDVI_mean:0.012213117321711008	VCI_mean:0.524493556720779	Drought_index_mean: 4.382400415607697
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-03-09	EndDate:2001-03-25	 VHI_mean: 0.417790460827225	TCI_mean:0.32845730398714934	NDVI_mean:-0.017288273312943973	VCI_mean:0.5067028834165481	Drought_index_mean: 4.530341351226498
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-03-09	EndDate:2001-03-25	 VHI_mean: 0.417790460827225	TCI_mean:0.32845730398714934	NDVI_mean:-0.017288273312943973	VCI_mean:0.5067028834165481	Drought_index_mean: 4.530341351226498
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-06-13	EndDate:2001-06-29	 VHI_mean: 0.4866440701919369	TCI_mean:0.4269595265076094	NDVI_mean:0.25013250104298584	VCI_mean:0.5463286138765401	Drought_index_mean: 4.941497591481948
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-06-29	EndDate:2001-07-15	 VHI_mean: 0.4593554867241702	TCI_mean:0.48682789701032725	NDVI_mean:0.17457410487449407	VCI_mean:0.43188307643772644	Drought_index_mean: 4.618731370203401
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-06-13	EndDate:2001-06-29	 VHI_mean: 0.4866440701919369	TCI_mean:0.4269595265076094	NDVI_mean:0.25013250104298584	VCI_mean:0.5463286138765401	Drought_index_mean: 4.941497591481948
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-06-29	EndDate:2001-07-15	 VHI_mean: 0.4593554867241702	TCI_mean:0.48682789701032725	NDVI_mean:0.17457410487449407	VCI_mean:0.43188307643772644	Drought_index_mean: 4.618731370203401
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-02-05	EndDate:2001-02-21	 VHI_mean: 0.43236860319388803	TCI_mean:0.22995212557753855	NDVI_mean:0.3997644562514589	VCI_mean:0.6347850808106688	Drought_index_mean: 4.646480903508106
******************************End of Entry**********************************************************New Entry**********************
startDate :2001-03-09	EndDate:2001-03-25	 VHI_mean: 0.46292138695528356	TCI_mean:0.314221267622302	NDVI_mean:0.3721200662581046	VCI_mean:0.6116215062881519	Drought_index_mean: 4.718808769643824
******************************End of Entry**********************************************************New Entry**********************
startDate :2021-03-24	EndDate:2021-04-09	 VHI_mean: 0.5942605110075712	TCI_mean:0.6833465734672312	NDVI_mean:0.20820007988020145	VCI_mean:0.5051744485479096	Drought_index_mean: 4.999993969683071
******************************End of Entry**********************************************************New Entry**********************
startDate :2022-03-27	EndDate:2022-04-12	 VHI_mean: 0.39741557776984426	TCI_mean:0.30270863259901115	NDVI_mean:0.18832346764383084	VCI_mean:0.49212252294068604	Drought_index_mean: 4.385257551778153
******************************End of Entry**********************************************************New Entry**********************
startDate :2022-03-27	EndDate:2022-04-12	 VHI_mean: 0.39741557776984426	TCI_mean:0.30270863259901115	NDVI_mean:0.18832346764383084	VCI_mean:0.49212252294068604	Drought_index_mean: 4.385257551778153
******************************End of Entry**********************************************************New Entry**********************
startDate :2019-04-20	EndDate:2019-05-06	 VHI_mean: 0.4216508405419358	TCI_mean:0.3552145571608314	NDVI_mean:0.17536794010693993	VCI_mean:0.4880871239230385	Drought_index_mean: 4.559269684100611
******************************End of Entry**********************************************************New Entry**********************
startDate :2019-05-06	EndDate:2019-05-22	 VHI_mean: 0.44303495409157295	TCI_mean:0.3114925383273438	NDVI_mean:0.25102530396974143	VCI_mean:0.5745773698558032	Drought_index_mean: 4.6724956424428505
******************************End of Entry**********************************************************New Entry**********************
startDate :2019-05-22	EndDate:2019-06-07	 VHI_mean: 0.4524121994541911	TCI_mean:0.386277007297478	NDVI_mean:0.2449602862060585	VCI_mean:0.518547391610905	Drought_index_mean: 4.655562064985966
******************************End of Entry**********************************************************New Entry**********************
